Docker image loading time,25,0(h):00(m):25(s)
Job receiving time,22,0(h):00(m):22(s)
Checkpointing time,4,0(h):00(m):04(s)
Checkpoint transfer time,2,0(h):00(m):02(s)
Docker image loading time,2,0(h):00(m):02(s)
Job receiving time,25,0(h):00(m):25(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,23,0(h):00(m):23(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,20,0(h):00(m):20(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,22,0(h):00(m):22(s)
Docker image loading time,3,0(h):00(m):03(s)
Job receiving time,20,0(h):00(m):20(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,3,0(h):00(m):03(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,7,0(h):00(m):07(s)
Job receiving time,3,0(h):00(m):03(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,3,0(h):00(m):03(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,17,0(h):00(m):17(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,3,0(h):00(m):03(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,4,0(h):00(m):04(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,3,0(h):00(m):03(s)
Docker image loading time,0,0(h):00(m):00(s)
Job receiving time,22,0(h):00(m):22(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,4,0(h):00(m):04(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,8,0(h):00(m):08(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,9,0(h):00(m):09(s)
Checkpointing time,1,0(h):00(m):01(s)
Checkpoint transfer time,1,0(h):00(m):01(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,12,0(h):00(m):12(s)
Checkpointing time,1,0(h):00(m):01(s)
Checkpoint transfer time,0,0(h):00(m):00(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,8,0(h):00(m):08(s)
Checkpointing time,1,0(h):00(m):01(s)
Checkpoint transfer time,1,0(h):00(m):01(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,8,0(h):00(m):08(s)
Checkpointing time,2,0(h):00(m):02(s)
Checkpoint transfer time,0,0(h):00(m):00(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,8,0(h):00(m):08(s)
Checkpointing time,1,0(h):00(m):01(s)
Checkpoint transfer time,1,0(h):00(m):01(s)
Docker image loading time,0,0(h):00(m):00(s)
Job receiving time,9,0(h):00(m):09(s)
Checkpointing time,1,0(h):00(m):01(s)
Checkpoint transfer time,1,0(h):00(m):01(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,9,0(h):00(m):09(s)
Checkpointing time,1,0(h):00(m):01(s)
Checkpoint transfer time,1,0(h):00(m):01(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,8,0(h):00(m):08(s)
Checkpointing time,1,0(h):00(m):01(s)
Checkpoint transfer time,0,0(h):00(m):00(s)
Docker image loading time,0,0(h):00(m):00(s)
Job receiving time,9,0(h):00(m):09(s)
Checkpointing time,1,0(h):00(m):01(s)
Checkpoint transfer time,1,0(h):00(m):01(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,22,0(h):00(m):22(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,4,0(h):00(m):04(s)
Docker image loading time,0,0(h):00(m):00(s)
Job receiving time,22,0(h):00(m):22(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,4,0(h):00(m):04(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,22,0(h):00(m):22(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,4,0(h):00(m):04(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Checkpointing time,3,0(h):00(m):03(s)
Checkpoint transfer time,3,0(h):00(m):03(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,0,0(h):00(m):00(s)
Job receiving time,13,0(h):00(m):13(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,13,0(h):00(m):13(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,12,0(h):00(m):12(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,22,0(h):00(m):22(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,12,0(h):00(m):12(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,21,0(h):00(m):21(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,13,0(h):00(m):13(s)
Docker image loading time,1,0(h):00(m):01(s)
Job receiving time,22,0(h):00(m):22(s)
Docker image loading time,5,0(h):00(m):05(s)
Job receiving time,3,0(h):00(m):03(s)
