Job Name,Time
wimnetsimulatora,86
apca,141
dcgana,255
recurrentnetworka,216
mnista,379
ffmpega,380
convertera,436
palabosa,877
opma,109
wimnetsimulatorb,86
apcb,141
dcganb,255
recurrentnetworkb,216
mnistb,379
ffmpegb,380
converterb,436
palabosb,877
opmb,109
bitcoinhhcoib,120
bitcoinhhcoina,120
covid19countrycoa,75
covid19countrycob,75
covid19traintestcob,180
covid19traintestcoa,180
ffmpegchangeb,420
ffmpegchangea,420
ffmpegresizeb,420
ffmpegresizea,420
bitcoinhhcoic,120
bitcoinhhcoind,120
covid19countrycoc,75
covid19countrycod,75
covid19traintestcoc,180
covid19traintestcod,180
ffmpegchangec,420
ffmpegchanged,420
ffmpegresizec,420
ffmpegresized,420
bitcoinhhcoie,120
bitcoinhhcoinf,120
covid19countrycoe,75
covid19countrycof,75
covid19traintestcoe,180
covid19traintestcof,180
ffmpegchangee,420
ffmpegchangef,420
ffmpegresizee,420
ffmpegresizef,420
bitcoinhhcoig,120
covid19countrycog,75
covid19traintestcog,180
ffmpegchangeg,420
ffmpegresizeg,420
wimnetsimulatorc,86
apcc,141
dcganc,255
recurrentnetworkc,216
mnistc,379
ffmpegc,380
converterc,436
palabosc,877
opmc,109
wimnetsimulatord,86
apcd,141
dcgand,255
recurrentnetworkd,216
mnistd,379
ffmpegd,380
converterd,436
palabosd,877
opmd,109
wimnetsimulatore,86
apce,141
dcgane,255
recurrentnetworke,216
mniste,379
ffmpege,380
convertere,436
palabose,877
opme,109
wimnetsimulatorf,86
apcf,141
dcganf,255
recurrentnetworkf,216
mnistf,379
ffmpegf,380
converterf,436
palabosf,877
opmf,109
wimnetsimulatorg,86
apcg,141
dcgang,255
recurrentnetworkg,216
mnistg,379
ffmpegg,380
converterg,436
palabosg,877
opmg,109
